,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
104,52,NARIÑO,52250,EL CHARCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.03,1289.17,7783.53,5933.2,4256.11,9869.19,4362.77,3230.66,2726.82,2119.68,417.97,1437.21,1371.36
105,52,NARIÑO,52256,EL ROSARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.44,0.0,1591.67,959.04,373.85,0.0,0.0,209.89,0.0,0.0,0.0,39.4
106,52,NARIÑO,52356,IPIALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.89,0.0,660.28,170.96,147.61,0.0,221.87,84.96,157.19,277.95,124.25,272.25
107,52,NARIÑO,52390,LA TOLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.78,483.49,324.1,667.39,317.33,286.11,195.71,143.38,77.06,219.68,290.94
108,52,NARIÑO,52405,LEIVA,0.0,0.0,0.0,0.0,0.0,0.0,93.4,0.0,0.0,0.0,0.0,574.72,247.45,241.1,102.83,31.45,0.0,52.92,0.0,0.0,0.0,0.0
109,52,NARIÑO,52427,MAGÜÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.34,3991.07,4867.1,9694.04,7993.48,5036.73,8398.43,9119.93,2393.1,7899.53,9678.21,1220.28,1885.53,711.74
110,52,NARIÑO,52490,OLAYA HERRERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.21,0.0,2103.06,5715.2,2366.24,4804.21,3165.61,2343.02,966.45,1164.22,0.0,780.56,185.31
111,52,NARIÑO,52520,FRANCISCO PIZARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.74,0.0,402.96,1332.49,193.42,2454.28,639.46,580.19,417.2,570.44,236.28,211.99,43.7
112,52,NARIÑO,52612,RICAURTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.21,0.0,0.0,0.0,84.99,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,0.0
113,52,NARIÑO,52621,ROBERTO PAYÁN,0.0,0.0,0.0,0.0,0.0,0.0,1902.3,2169.96,1706.99,8611.84,9941.47,1290.13,6054.33,3505.34,10726.45,9423.19,5098.92,8703.75,9614.6,1152.59,2929.01,775.27
