,AÑO,CODDEPTO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
168,2016,13,BOLÍVAR,487274,89.5,89.41,101.18,2.97,91.68,5.35,2.16
169,2016,15,BOYACÁ,279627,83.8,83.7,96.0,2.46,93.5,4.04,2.18
170,2016,17,CALDAS,192703,77.4,77.4,88.86,4.28,89.16,6.56,2.16
171,2016,18,CAQUETÁ,124296,75.4,75.36,88.13,6.88,91.69,1.43,2.2
172,2016,19,CAUCA,307989,83.9,83.84,100.22,2.84,91.42,5.73,1.22
173,2016,20,CESAR,259794,97.6,97.44,110.73,5.07,89.53,5.4,1.19
174,2016,23,CÓRDOBA,411715,90.3,90.28,104.35,3.03,93.6,3.37,3.75
175,2016,25,CUNDINAMARCA,577612,91.2,90.9,101.15,3.68,93.27,3.05,2.4
176,2016,27,CHOCÓ,145596,79.8,79.85,96.88,3.58,87.44,8.98,1.94
177,2016,41,HUILA,268744,85.9,85.84,96.84,5.23,85.82,8.94,4.35
178,2016,44,LA GUAJIRA,264785,75.7,75.59,88.3,4.62,93.5,1.89,4.5
179,2016,47,MAGDALENA,329234,92.5,92.33,108.24,3.2,94.31,2.49,5.31
180,2016,50,META,219565,92.4,92.28,104.73,5.35,89.08,5.57,0.86
181,2016,52,NARIÑO,394574,71.1,71.13,83.28,1.67,96.44,1.89,2.64
182,2016,54,NORTE DE SANTANDER,307238,88.6,88.51,101.66,4.84,91.24,3.91,1.85
183,2016,63,QUINDIO,108652,79.8,79.74,91.75,6.18,87.41,6.41,1.13
184,2016,66,RISARALDA,182345,87.4,87.16,102.31,4.67,89.54,5.79,1.09
185,2016,68,SANTANDER,402820,95.2,95.0,106.47,3.97,89.89,6.14,2.48
186,2016,70,SUCRE,198817,96.8,96.72,111.51,2.95,87.41,9.64,0.47
187,2016,73,TOLIMA,306395,84.7,84.59,95.33,3.7,89.31,6.98,0.61
188,2016,76,VALLE DEL CAUCA,873706,81.4,81.23,93.81,4.34,88.72,6.94,1.29
189,2016,81,ARAUCA,75185,74.0,73.95,85.37,3.72,96.28,0.0,3.44
190,2016,85,CASANARE,88003,100.2,100.18,111.65,4.21,90.23,5.56,4.03
191,2016,86,PUTUMAYO,91441,76.1,76.09,87.8,7.53,86.13,6.34,2.56
192,2016,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15167,68.2,68.15,73.81,2.26,97.73,0.01,2.47
193,2016,91,AMAZONAS,22243,81.4,81.35,96.12,5.06,89.11,5.83,6.61
194,2016,94,GUAINÍA,11935,77.6,77.64,95.79,8.21,74.85,16.94,1.9
195,2016,95,GUAVIARE,31671,54.8,54.83,65.4,4.7,89.19,6.11,2.85
196,2016,97,VAUPÉS,12654,64.2,64.17,76.78,6.6,83.11,10.29,3.02
197,2016,99,VICHADA,21951,77.8,77.78,87.9,8.16,78.03,13.81,3.26
198,2017,05,ANTIOQUIA,1270105,86.1,86.0,98.15,4.15,88.68,7.16,6.52
199,2017,08,ATLÁNTICO,518257,91.1,90.72,99.32,1.28,94.18,4.54,1.11
200,2017,11,"BOGOTÁ, D.C.",1452849,79.9,79.45,86.62,1.62,97.29,1.09,0.14
201,2017,13,BOLÍVAR,486067,90.7,90.58,102.17,2.65,91.16,6.19,4.4
202,2017,15,BOYACÁ,275027,83.5,83.48,94.76,2.15,92.61,5.25,2.3
203,2017,17,CALDAS,191444,75.8,75.72,86.35,3.47,89.46,7.07,3.08
204,2017,18,CAQUETÁ,124222,74.4,74.37,88.1,6.73,90.51,2.76,3.43
205,2017,19,CAUCA,303777,83.3,83.32,99.31,2.76,90.66,6.59,1.26
206,2017,20,CESAR,259051,99.1,98.92,111.18,3.98,90.56,5.46,0.92
207,2017,23,CÓRDOBA,413883,88.8,88.72,101.31,3.03,93.23,3.75,3.29
208,2017,25,CUNDINAMARCA,579364,91.8,91.56,101.72,2.57,94.05,3.37,2.43
209,2017,27,CHOCÓ,145765,79.2,79.19,95.51,2.38,88.49,9.14,2.23
210,2017,41,HUILA,268582,85.3,85.17,95.17,4.14,86.57,9.3,3.32
211,2017,44,LA GUAJIRA,271221,75.5,75.44,86.51,2.98,93.92,3.1,4.85
212,2017,47,MAGDALENA,327940,93.6,93.3,109.39,2.57,94.62,2.8,2.52
213,2017,50,META,221844,90.9,90.88,102.17,4.2,90.81,4.99,1.04
214,2017,52,NARIÑO,393195,70.2,70.16,83.3,1.4,95.82,2.78,3.17
215,2017,54,NORTE DE SANTANDER,304148,90.4,90.3,105.26,3.6,91.86,4.54,1.24
216,2017,63,QUINDIO,108156,77.8,77.69,88.57,4.92,88.68,6.4,0.8
217,2017,66,RISARALDA,181154,86.8,86.62,100.7,4.82,89.34,5.84,2.4
218,2017,68,SANTANDER,398621,96.5,96.33,107.72,2.67,91.27,6.07,2.41
219,2017,70,SUCRE,197947,97.3,97.2,111.79,2.7,87.86,9.43,1.06
220,2017,73,TOLIMA,303140,84.0,83.91,94.39,2.93,90.06,7.01,0.73
221,2017,76,VALLE DEL CAUCA,873860,80.4,80.21,91.94,3.71,89.59,6.7,1.45
222,2017,81,ARAUCA,75197,75.0,75.02,86.6,3.63,96.31,0.07,7.17
223,2017,85,CASANARE,88626,97.8,97.72,112.68,2.68,92.41,4.91,2.09
224,2017,86,PUTUMAYO,91161,75.2,75.24,88.54,5.74,88.12,6.14,2.65
225,2017,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15106,67.8,67.64,72.38,1.15,97.88,0.97,2.04
226,2017,91,AMAZONAS,22269,83.6,82.1,96.56,4.88,87.45,7.67,5.96
227,2017,94,GUAINÍA,11965,80.0,79.98,97.94,7.68,76.79,15.53,3.13
228,2017,95,GUAVIARE,31876,55.0,55.02,67.6,4.34,94.39,1.27,2.86
