,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
81,19,CAUCA,19698,SANTANDER DE QUILICHAO,0.0,17.0,21.0,0.0,0.0,493.0,11561.0,0.0,2975.0,0.0,1360.0,43.0,87.0,616.0,87.0,8250.0,0.0,149.0,0.0,45.359,3.0,1120.0,1550.0,1976.302,21402.9,2000.0
82,19,CAUCA,19743,SILVIA,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,19,CAUCA,19780,SUÁREZ,0.0,0.0,0.0,0.0,962.0,0.0,0.0,0.0,1500.0,0.0,36088.0,2070.0,220.0,3741.0,25700.0,3310.0,48324.5,6740.5,0.0,100.0,1105.0,4512.267,300.0,2593.95,2139.0,2000.0
84,19,CAUCA,19809,TIMBIQUÍ,0.0,0.0,0.0,0.0,0.0,187.0,1386.2,3525.0,2333.0,5566.0,11211.0,1450.0,100.0,0.0,2250.0,4037.5,550.0,150.0,850.0,3350.0,840.0,2390.0,4787.65,771.56,513.0,0.0
85,19,CAUCA,19821,TORIBÍO,100.0,0.0,0.0,0.0,0.0,935.0,1198.0,3312.0,29125.0,6125.0,0.0,250.0,0.0,0.0,0.0,1008.0,630.0,0.0,0.0,700.0,2775.0,2430.0,600.0,1750.0,0.0,0.0
86,20,CESAR,20517,PAILITAS,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,23,CÓRDOBA,23466,MONTELÍBANO,0.0,0.0,0.0,0.0,1125.0,14605.0,1490.0,250.0,2630.0,3812.0,1070.0,12.5,5038.2,150.15,505.0,1137.0,483.0,100.0,1118.0,500.0,100.0,452.0,388.0,1065.0,304.0,150.0
88,23,CÓRDOBA,23580,PUERTO LIBERTADOR,0.0,0.0,0.0,0.0,3962.0,10063.0,8274.0,3990.016,1664.0,22753.0,1825.0,657.5,9569.5,0.0,250.0,0.0,0.0,774.0,0.0,400.0,530.0,750.0,1700.0,0.0,3593.22,1100.0
89,23,CÓRDOBA,23807,TIERRALTA,0.0,0.0,0.0,375.0,1647.0,875.0,1253.0,41883.597,9205.0,12239.0,1075.0,150.0,11902.0,22326.25,6389.075,5935.0,7292.18,375.0,388.0,280.0,320.0,2464.0,904.0,0.0,1881.0,0.0
90,25,CUNDINAMARCA,25518,PAIME,0.0,0.0,0.0,0.0,0.0,212.0,3753.0,774.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
